subject;title;author;date;excerpt;temporal;zone;agent;fase;state;func;local;form;view;role;lok;loe;num;suit;rev;citekey;svg;dxf;ifc
br-rn-acari-faz_cacimba_do_meio;Corte longitudinal;Eduarda Santana;2023-12-27;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_caicarinha;Planta de situação;Eduarda Santana;2023-12-28;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-faz_caicarinha;Planta do pavimento térreo;Eduarda Santana;2023-12-28;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_caicarinha;Planta do sobrado;Eduarda Santana;2023-12-28;;;Storey;ARQTRAD;LV;O;;SOB;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_caicarinha;Fachada para oeste;Eduarda Santana;2023-12-28;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_caicarinha;Corte longitudinal;Eduarda Santana;2023-12-28;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_caicarinha_de_baixo;Planta de situação;Eduarda Santana;2023-12-29;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-faz_caicarinha_de_baixo;Planta baixa;Eduarda Santana;2023-12-29;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_caicarinha_de_baixo;Fachada para oeste;Eduarda Santana;2023-12-29;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_caicarinha_de_baixo;Corte longitudinal;Eduarda Santana;2023-12-29;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
